flow;CF
noise, octave 1, day time, urban;31100
noise, octave 2, day time, urban;69700
noise, octave 3, day time, urban;167000
noise, octave 4, day time, urban;311000
noise, octave 5, day time, urban;448000
noise, octave 6, day time, urban;293000
noise, octave 7, day time, urban;275000
noise, octave 8, day time, urban;243000
noise, octave 1, evening time, urban;58400
noise, octave 2, evening time, urban;131000
noise, octave 3, evening time, urban;313000
noise, octave 4, evening time, urban;583000
noise, octave 5, evening time, urban;842000
noise, octave 6, evening time, urban;961000
noise, octave 7, evening time, urban;918000
noise, octave 8, evening time, urban;851000
noise, octave 1, night time, urban;98900
noise, octave 2, night time, urban;221000
noise, octave 3, night time, urban;531000
noise, octave 4, night time, urban;989000
noise, octave 5, night time, urban;1430000
noise, octave 6, night time, urban;1630000
noise, octave 7, night time, urban;1550000
noise, octave 8, night time, urban;1420000
noise, octave 1, day time, suburban;39100
noise, octave 2, day time, suburban;87500
noise, octave 3, day time, suburban;210000
noise, octave 4, day time, suburban;391000
noise, octave 5, day time, suburban;563000
noise, octave 6, day time, suburban;640000
noise, octave 7, day time, suburban;601000
noise, octave 8, day time, suburban;529000
noise, octave 1, evening time, suburban;69700
noise, octave 2, evening time, suburban;156000
noise, octave 3, evening time, suburban;374000
noise, octave 4, evening time, suburban;696000
noise, octave 5, evening time, suburban;1010000
noise, octave 6, evening time, suburban;1150000
noise, octave 7, evening time, suburban;1100000
noise, octave 8, evening time, suburban;1020000
noise, octave 1, night time, suburban;124000
noise, octave 2, night time, suburban;277000
noise, octave 3, night time, suburban;665000
noise, octave 4, night time, suburban;1240000
noise, octave 5, night time, suburban;1790000
noise, octave 6, night time, suburban;2040000
noise, octave 7, night time, suburban;1940000
noise, octave 8, night time, suburban;1770000
noise, octave 1, day time, rural;1440
noise, octave 2, day time, rural;3230
noise, octave 3, day time, rural;7740
noise, octave 4, day time, rural;14300
noise, octave 5, day time, rural;20400
noise, octave 6, day time, rural;21700
noise, octave 7, day time, rural;15900
noise, octave 8, day time, rural;5470
noise, octave 1, evening time, rural;2570
noise, octave 2, evening time, rural;5760
noise, octave 3, evening time, rural;13800
noise, octave 4, evening time, rural;25600
noise, octave 5, evening time, rural;36600
noise, octave 6, evening time, rural;40000
noise, octave 7, evening time, rural;32200
noise, octave 8, evening time, rural;15400
noise, octave 1, night time, rural;4580
noise, octave 2, night time, rural;10200
noise, octave 3, night time, rural;24600
noise, octave 4, night time, rural;45500
noise, octave 5, night time, rural;64900
noise, octave 6, night time, rural;70300
noise, octave 7, night time, rural;54600
noise, octave 8, night time, rural;23100
noise, octave 1, day time, industrial;6950
noise, octave 2, day time, industrial;15600
noise, octave 3, day time, industrial;37300
noise, octave 4, day time, industrial;69400
noise, octave 5, day time, industrial;100000
noise, octave 6, day time, industrial;114000
noise, octave 7, day time, industrial;107000
noise, octave 8, day time, industrial;94200
noise, octave 1, evening time, industrial;11700
noise, octave 2, evening time, industrial;26100
noise, octave 3, evening time, industrial;62700
noise, octave 4, evening time, industrial;117000
noise, octave 5, evening time, industrial;168000
noise, octave 6, evening time, industrial;192000
noise, octave 7, evening time, industrial;184000
noise, octave 8, evening time, industrial;170000
noise, octave 1, night time, industrial;21900
noise, octave 2, night time, industrial;49100
noise, octave 3, night time, industrial;118000
noise, octave 4, night time, industrial;219000
noise, octave 5, night time, industrial;316000
noise, octave 6, night time, industrial;361000
noise, octave 7, night time, industrial;343000
noise, octave 8, night time, industrial;314000
noise, octave 1, day time, indoor;33300
noise, octave 2, day time, indoor;74600
noise, octave 3, day time, indoor;179000
noise, octave 4, day time, indoor;333000
noise, octave 5, day time, indoor;482000
noise, octave 6, day time, indoor;553000
noise, octave 7, day time, indoor;539000
noise, octave 8, day time, indoor;540000
noise, octave 1, evening time, indoor;59700
noise, octave 2, evening time, indoor;134000
noise, octave 3, evening time, indoor;320000
noise, octave 4, evening time, indoor;597000
noise, octave 5, evening time, indoor;862000
noise, octave 6, evening time, indoor;990000
noise, octave 7, evening time, indoor;965000
noise, octave 8, evening time, indoor;968000
noise, octave 1, night time, indoor;112000
noise, octave 2, night time, indoor;252000
noise, octave 3, night time, indoor;604000
noise, octave 4, night time, indoor;1120000
noise, octave 5, night time, indoor;1620000
noise, octave 6, night time, indoor;1860000
noise, octave 7, night time, indoor;1820000
noise, octave 8, night time, indoor;1820000
noise, octave 1, day time, unspecified;1620000
noise, octave 2, day time, unspecified;18000
noise, octave 3, day time, unspecified;43300
noise, octave 4, day time, unspecified;80400
noise, octave 5, day time, unspecified;115000
noise, octave 6, day time, unspecified;128000
noise, octave 7, day time, unspecified;111000
noise, octave 8, day time, unspecified;74000
noise, octave 1, evening time, unspecified;15300
noise, octave 2, evening time, unspecified;34300
noise, octave 3, evening time, unspecified;82300
noise, octave 4, evening time, unspecified;153000
noise, octave 5, evening time, unspecified;220000
noise, octave 6, evening time, unspecified;248000
noise, octave 7, evening time, unspecified;226000
noise, octave 8, evening time, unspecified;268000
noise, octave 1, night time, unspecified;30900
noise, octave 2, night time, unspecified;69300
noise, octave 3, night time, unspecified;166000
noise, octave 4, night time, unspecified;309000
noise, octave 5, night time, unspecified;444000
noise, octave 6, night time, unspecified;499000
noise, octave 7, night time, unspecified;448000
noise, octave 8, night time, unspecified;331000
