CountryCode;RegionCode
AW;LAM
AF;OAS
AO;SSA
AI;LAM
AX;EUR
AL;NEU
AD;NEU
AE;MEA
AR;LAM
AM;REF
AS;OAS
AQ;LAM
TF;OAS
AG;LAM
AU;CAZ
AT;EUR
AZ;REF
BI;SSA
BE;EUR
BJ;SSA
BQ;LAM
BF;SSA
BD;OAS
BG;EUR
BH;MEA
BS;LAM
BA;NEU
BL;LAM
BY;REF
BZ;LAM
BM;LAM
BO;LAM
BR;LAM
BB;LAM
BN;OAS
BT;OAS
BW;SSA
CF;SSA
CA;CAZ
CC;OAS
CN;CHA
CH;NEU
CL;LAM
CI;SSA
CM;SSA
CD;SSA
CG;SSA
CK;OAS
CO;LAM
KM;SSA
CV;SSA
CR;LAM
CU;LAM
CW;LAM
CX;OAS
KY;LAM
CY;EUR
CZ;EUR
DE;EUR
DJ;SSA
DM;LAM
DK;EUR
DO;LAM
DZ;MEA
EC;LAM
EG;MEA
ER;SSA
EH;MEA
ES;EUR
EE;EUR
ET;SSA
FI;EUR
FJ;OAS
FK;LAM
FR;EUR
FO;EUR
FM;OAS
GA;SSA
GB;EUR
GE;REF
GG;EUR
GH;SSA
GI;EUR
GN;SSA
GP;LAM
GM;SSA
GW;SSA
GQ;SSA
GR;EUR
GD;LAM
GL;NEU
GT;LAM
GF;LAM
GU;OAS
GY;LAM
HK;CHA
HN;LAM
HR;EUR
HT;LAM
HU;EUR
ID;OAS
IM;EUR
IN;IND
IO;OAS
IE;EUR
IR;MEA
IQ;MEA
IS;NEU
IL;MEA
IT;EUR
JM;LAM
JE;EUR
JO;MEA
JP;JPN
KZ;REF
KE;SSA
KG;REF
KH;OAS
KI;OAS
KN;LAM
KR;OAS
KW;MEA
LA;OAS
LB;MEA
LR;SSA
LY;MEA
LC;LAM
LI;NEU
LK;OAS
LS;SSA
LT;EUR
LU;EUR
LV;EUR
MO;CHA
MF;LAM
MA;MEA
MC;NEU
MD;REF
MG;SSA
MV;OAS
MX;LAM
MH;OAS
MK;NEU
ML;SSA
MT;EUR
MM;OAS
ME;NEU
MN;OAS
MP;OAS
MZ;SSA
MR;SSA
MS;LAM
MQ;LAM
MU;SSA
MW;SSA
MY;OAS
YT;SSA
NA;SSA
NC;OAS
NE;SSA
NF;OAS
NG;SSA
NI;LAM
NU;OAS
NL;EUR
NO;NEU
NM;SSA
NP;OAS
NR;OAS
NZ;CAZ
OM;MEA
PK;OAS
PA;LAM
PN;OAS
PE;LAM
PH;OAS
PW;OAS
PG;OAS
PL;EUR
PR;LAM
KP;OAS
PT;EUR
PY;LAM
PS;MEA
PF;OAS
QA;MEA
RE;SSA
RO;EUR
RU;REF
RW;SSA
SA;MEA
SD;MEA
SN;SSA
SG;OAS
GS;LAM
SH;SSA
SJ;NEU
SB;OAS
SL;SSA
SV;LAM
SM;NEU
SO;SSA
RS;NEU
SS;SSA
ST;SSA
SR;LAM
SK;EUR
SI;EUR
SE;EUR
SZ;SSA
SX;LAM
SC;SSA
SY;MEA
TC;LAM
TD;SSA
TG;SSA
TH;OAS
TJ;REF
TM;REF
TL;OAS
TO;OAS
TT;LAM
TN;MEA
TR;MEA
TV;OAS
TW;CHA
TZ;SSA
UG;SSA
UA;REF
UM;OAS
UY;LAM
US;USA
UZ;REF
VA;NEU
VC;LAM
VE;LAM
VG;LAM
VI;LAM
VN;OAS
VU;OAS
WF;OAS
WS;OAS
YE;MEA
ZA;SSA
ZM;SSA
ZW;SSA
XK;EUR
RoW;CAZ
RER;EUR
RNA;USA
RLA;LAM
RAF;SSA
RAS;OAS
UN-OCEANIA;CAZ
GLO;World
